boardingposition,refstopplacecode
changepoint,platformchange
connectiontime,nextroutelink
genericstatus,entitlementstatus
generictextmessage,messageref
geopoint,reflocationcode
itinerary,itinerary
linkpath,routelink
navigationpoint,hasnextroutelink
placereference,detailedquotation
region,regionalrailstation
scheduledstoppoint,stopplacecode
segment,segment
startandduration,startdatetime
stoparea,intermediatestopplace
stopplace,stopplacecode
vehicle,bustransport
vehicleaccess,accesssystemitem
accessequipmentid,refaccesssystemitem
boardingposition,metaroute
boardingpositionid,refstopplacecode
center,hasnextroutelink
connection,accessspace
connectiontime,hasminimumconnectiontime
datetime,eventdatetime
description,inputparameter
destination,destination
footpathequipmentid,equipment
geopoint,reflocationcode
linkpath,refroutelink
navigationpoint,interchangetravelepisode
onboardservicecategoryid,reftravelshopperid
origin,itineraryorigin
pathlinktypeid,refroutelink
placetypeid,type
safetyequipmentid,equipment
scheduledstoppoint,atstopplace
scheduledstoppointid,refstopplacecode
segment,segment
serviceavailabilityid,availabilitysolution
servicebrandid,transportserviceproviderid
servicemodeid,reftransportserviceprovider
status,status
stoparea,carrentalstation
stopareaid,refstopplacecode
stopplace,stopplace
stopplaceaccesstypeid,refstopplacecode
stopplaceid,refstopplacecode
stopplacetypeid,relatedlocation
trainpathtypeid,reflocationcode
typeid,type
vehicle,bustransport
vehicleaccess,accesssystemitem
vehicleaccessareatypeid,entryvalidationcap
value,inputparameter
arrivaltime,statisticsstarttime
borderpointcode,locationname
checkintime,minimumconnectiontime
compartmentlengthpos,longitude
compartmentwidthpos,latitude
displacement,radius
duration,duraction
effectivedeparture,planneddeparture
experiencedoverallchangetime,statisticsstarttime
externalid,productdescription
height,longitude
impairedoverallchangetime,minimumconnectiontime
isborderpoint,planneddeparture
latitude,latitude
longitude,longitude
meanoverallchangetime,minimumconnectiontime
name,name
prmsuitable,productdescription
passengeridref,userid
passengerref,userid
segmentidref,description
start,startdatetime
stopplacename,stopplacename
vehicleid,servicetype
vehiclerampsuitable,consumptionmediumtype
wheelchairoverallchangetime,timeunit
text,messageshorttext