boardingposition,boardingposition
changepoint,defaultinterchange
connectiontime,connection
geopoint,stopassignment
itinerary,trip
linkpath,inksequence
placereference,addressableplace
region,place
scheduledstoppoint,scheduledstoppoint
segment,servicejourney
startandduration,timeband
stoparea,stoparea
stopplace,stopplace
vehicle,vehicle
vehicleaccess,accesszone
arrivaltime,arrivaltime
borderpointcode,bordercrossing
checkintime,forboarding
closeofboarding,forboarding
duration,time
effectivedeparture,departuretime
experiencedoverallchangetime,timinglinkinjourneypattern
impairedoverallchangetime,waittime
meanoverallchangetime,waittime
start,starttime
stopplacename,requeststop
vehicleid,vehicletype
wheelchairoverallchangetime,time
accessequipmentid,canboard
boardingposition,boardingposition
boardingpositionid,canboard
center,aviewof
connection,passengerconnection
connectiontime,timinglinkinjourneypattern
datetime,timinglink
description,stopuse
destination,destinationstop
geopoint,addressableplace
linkpath,linksequence
navigationpoint,journeypattern
scheduledstoppoint,scheduledstoppoint
stoparea,stoparea
stopplace,stopplace
vehicle,vehicle
vehicleaccess,accesszone
waitingtimetypeid,inlinksequence