linksequence,routelink
agencies,individualtransport
connections,routelink
elements,bookingelement
fareproducts,offeritemprovider
farestructurefactor,fareruledescription
farestructurefactors,fareruledescription
farezones,farerule
flexibleservice,availabilitysolution
geographical,location
journeyinterchange,metajourney
journeypatterns,itineraryoffer
journeys,reftravelepisode
lines,ontransportline
logicaldisplays,detailedquotation
networkelements,networkstatistics
networkrestrictions,restriction
organisations,infrastructure
places,location
pricegroups,farerule
pricing,price
routes,routesquery
salespackages,salescondition
service,mobilityrequest
sites,relatedlocation
timingpatterns,eventdatetime
transactions,validationtransaction
transfers,departure
validableelements,validableelement
vehicleservices,availabilitysolution
borderpoint,quay
direction,startingat
displayassignment,detailedquotation
distributionchannel,reflocationcode
fareframe,fareproductdescription
fareprice,price
fareproductprice,applicablefee
farescheduledstoppoint,atstopplace
faresection,appliablefarerule
farestructureelementprice,applicablefee
farezone,farerule
flexibleline,availabilitysolution
flexibleroute,availabilitysolution
fulfilmentmethod,validitycontext
generalframe,availableclass
infrastructureframe,fortransportmode
interchangerule,entryvalidationcap
interchange,intermediatestopplace
journeymeeting,atstopplace
journeypart,journey
journeypattern,itineraryofferitem
journey,travelepisode
line,ontransportline
link,refroutelink
linkref,refroutelink
logicaldisplay,detailedquotation
parkingchargeband,refpaymentmoduleid
parkingprice,price
parkingtariff,tax
pricegroup,price
priceunit,price
railwayjunction,nextroutelink
resourceframe,reftoifresourceapproval
roadjunction,nextroutelink
routelink,refroutelink
routepoint,intermediatestopplace
route,journeydestination
salespackage,salescondition
salespackageelement,bookingelement
salestransaction,fareproductevent
scheduledstoppoint,atstopplace
serviceframe,refstopplacecode
servicelink,journey
servicepattern,servicequality
site,locationcode
stoppointinjourneypattern,intermediatestopplace
timetableframe,approvaltimestamp
timingpointinjourneypattern,atstopplace
transfer,planneddeparture
travelspecification,itineraryoffer
vehicleservice,availabilitysolution
vehicletypeatpoint,type
wireelement,equipment
zone,atstopplace
zoneref,refquay
accessrightinproduct,providersignature
distributionassignment,routelinksegmentnumber
fareproduct,paymentinformation
farestructureelement,farebasis
farestructureelementinsequence,productdescription
farestructurefactor,fareruledescription
farestructurefactorref,farebasis
geographicalinterval,imezoneoffset
geographicalintervalprice,value
geographicalstructurefactor,model
groupofsalespackages,salescondition
linkinlinksequence,routelinksegmentnumber
linksequenceref,routelinksegmentnumber
organisation,transportserviceprovidername
organisationref,productdescription
place,locationname
pointinlinksequence,minimumconnectiontime
pointref,description
salesnoticeassignment,validitystartdate
salespackage,salescondition
salespackageelement,bookingelement
salespackageprice,value
salespackagesubstitution,salesconditionsdescription
tariff,tax
timeinterval,timezoneoffset
timeintervalprice,value
timeunit,timeunit
timetableframe,approvaltimestamp
transfer,planneddeparture
typeoffareproduct,productdescription
typeofsalespackage,salescondition
typeoftariff,tax
validableelementprice,farebasis
agencyfareurl,productprovidername
agencyid,providersignature
agencyname,transportationserviceprovidername
agencyphone,transportationserviceprovidercode
agencyurl,productprovidername
timetables,hasdatetime