bookingagencyname,productprovider
bookingdeadline,enddatetime
bookinginfo,fareproductevent
bookinginforequest,fareproductevent
bookinginforesponse,itineraryofferitem
bookinginforesponsestructure,itineraryofferitem
bookinginforesult,metajourneydestination
bookinginforesultstructure,itineraryoffer
bookinginfostructure,bookingelement
bookingurl,travelexpertcode
code,code
datedjourneystructure,travelepisode
datedservicegroup,journey
deparrtime,planneddeparture
destination,destination
destinationstoppointref,endstopplace
destinationtext,inputmessagemapping
directionhint,relatedlocation
duration,duration
endtime,enddatetime
errormessage,faultmessagemapping
errormessagestructure,kpievaluation
extension,linename
facilitydescription,locationcode
facilitystructure,facility
farezone,hasfarerule
farezonelistinareastructure,farerule
farezonestructure,fareproductdescription
farezonetext,hasfarebasis
geoposition,reflocationcode
geopositionstructure,location
individualrouterequeststructure,routequery
individualtransportoptionsstructure,itineraryofferitem
infourl,contactinfo
infrastructurefacility,reftransportserviceprovider
infrastructurefacilitystructure,transportline
interchangeleg,intermediatestopplace
interchangelegstructure,planneddeparture
interchanges,intermediatestopplace
journeyref,journey
journeyref,refjourney
journeyrefstructure,interchangetravelepisode
language,messagetitle
latitude,geocoordinates
legdescription,fareproductdescription
legend,endpoint
legid,hasminimumconnectiontime
legstart,startstopplace
length,startingat
linkdistance,mileage
location,geocoordinates
locationdescription,reflocationcode
locationref,refroutelink
locationrefstructure,location
longitude,geocoordinates
maxduration,duration
minduration,duration
mode,reftransportserviceprovider
navigationpath,reflocationcode
navigationsection,refroutelink
operatingdayref,refjourney
operatingdayrefstructure,eventdatetime
operatorref,servicetype
origin,origin
originstoppointref,startstopplace
origintext,quotation
progressbetweenstopsstructure,travelepisode
routedescription,refroutelink
routeid,linename
routestructure,accesssystemid
scope,context
service,journey
serviceattributestructure,statisticaldataprovider
servicedestination,carrentalstation
servicegroup,transportationservice
serviceorigingroup,transportationservice
servicesectionstructure,regionalrailstation
servicestatus,journey
starttime,startdatetime
stoppoint,stopplace
stoppointcode,refstopplacecode
stoppointcodetype,codevalue
stoppointrefstructure,logicaltopology
stopseqintervalgroup,planneddeparture
text,inputmessagemapping
text,messagetitle
textid,messagetitle
timeofoperation,minimumelapsedtraveltime
tostopseqnumber,stopplacename
totriplegidref,Statisticsdataprovider
tripid,routelinksegmentnumber
tripleg,refroutelink
triplegstructure,itinerary
tripstructure,itineraryofferitem
turndescription,fareproductdescription
vehiclepositionstructure,physicaltopology
vehiclerefstructure,bustransport